feature,Transmission_Centrality,Clonal_Expansion,Persistence,Spatial_Dissemination,mean_importance,type
SVD_25,0.0049348582334616,0.0061232419829858,0.0020667810868816,0.0028004397014039,0.0039813302511833,SVD_Latent
SVD_4,0.0042591612460654,0.0047765550004123,0.0058394965775786,0.000583946673965,0.0038647898745053,SVD_Latent
SVD_48,0.0026724860466778,0.0102741398933408,0.001460944997959,0.0009873884257064,0.003848739840921,SVD_Latent
SVD_92,0.0038488298309654,0.0039665573340511,0.0068016143191797,0.00069920575706,0.0038290518103141,SVD_Latent
SVD_79,0.0066125178067026,0.0027893521205628,0.0044375097306429,0.0013948441935157,0.003808555962856,SVD_Latent
SVD_90,0.002649533703112,0.0032916787378322,0.0046575288923018,0.0042465355610901,0.003711319223584,SVD_Latent
SVD_103,0.0055819620181383,0.002854557461197,0.0052634393640087,0.0010780781696104,0.0036945092532386,SVD_Latent
SVD_111,0.0039016598581704,0.003321945618712,0.0062030591114034,0.0012310036572698,0.0036644170613889,SVD_Latent
SVD_104,0.0084691499602142,0.0025648014745137,0.002586345063142,0.0006586838532182,0.003569745087772,SVD_Latent
SVD_97,0.0043885719944733,0.0032429359753359,0.0050162993861532,0.0016092129083488,0.0035642550660778,SVD_Latent
SVD_65,0.0088907987629398,0.0023050110050618,0.0020898780334188,0.0009516842049057,0.0035593430015815,SVD_Latent
SVD_46,0.0029724139954709,0.0034949370406114,0.0067529630151885,0.0008395276699947,0.0035149604303164,SVD_Latent
SVD_87,0.0038742050898114,0.0030442982589517,0.0034803949860258,0.0032519725451503,0.0034127177199848,SVD_Latent
SVD_14,0.0060305809346802,0.0042279503968412,0.0020523417860323,0.0012478724599298,0.0033896863943709,SVD_Latent
SVD_81,0.0051914212160234,0.0031546483949068,0.0029376323033002,0.0021857297888463,0.0033673579257692,SVD_Latent
SVD_57,0.0051829973626237,0.0029813755738744,0.0044189732189,0.0007404763201851,0.0033309556188958,SVD_Latent
SVD_110,0.0022792612795581,0.0026947642677601,0.0067587757516069,0.0014828676481238,0.0033039172367622,SVD_Latent
SVD_112,0.0050169114876951,0.0034131668752148,0.0021387199087349,0.0020182880646074,0.0031467715840631,SVD_Latent
SVD_73,0.003812451699965,0.0052290638419249,0.0027067134266897,0.0008342620575797,0.0031456227565398,SVD_Latent
SVD_43,0.0020941859520663,0.0074022278302555,0.0018113335424173,0.001118836555217,0.003106645969989,SVD_Latent
SVD_26,0.0039124778861894,0.0043624747862918,0.002394343450152,0.0017094893866013,0.0030946963773086,SVD_Latent
SVD_114,0.000882884149909,0.0050173850839681,0.0049641654578077,0.0014048110039334,0.0030673114239046,SVD_Latent
SVD_95,0.0043240300017271,0.0042303381481877,0.0025917971006344,0.0011088065807813,0.0030637429578326,SVD_Latent
SVD_96,0.0066728673765076,0.0030225921567264,0.0018143277425202,0.0004907565678901,0.0030001359609111,SVD_Latent
SVD_41,0.0031585050925673,0.0049179628260138,0.0017486020247938,0.0021263033386138,0.0029878433204972,SVD_Latent
SVD_56,0.0038876259295193,0.0038545652916165,0.0034546426977542,0.0005536888874412,0.0029376307015828,SVD_Latent
SVD_55,0.0025441806264564,0.0036657308201581,0.0049756154560352,0.0004382598640008,0.0029059466916626,SVD_Latent
SVD_93,0.0034639291910321,0.0039607678797738,0.0033647135487633,0.0008187811299575,0.0029020479373817,SVD_Latent
SVD_101,0.0020050723034125,0.0030938760350065,0.0045312021536955,0.0016542197503421,0.0028210925606142,SVD_Latent
SVD_39,0.0033697175427084,0.0039602046686508,0.0032641721589032,0.0005932294379622,0.0027968309520562,SVD_Latent
SVD_88,0.0032142280339619,0.0050020242323037,0.0018804790551676,0.0009351044093314,0.0027579589326912,SVD_Latent
SVD_89,0.003741320300768,0.0034124614361879,0.0029830318254836,0.0008583380385377,0.0027487879002443,SVD_Latent
SVD_52,0.0015861343610115,0.0023031895092153,0.0064089459537366,0.0005385713603019,0.0027092102960663,SVD_Latent
SVD_53,0.0035782899383004,0.0034025805175676,0.0030970905602713,0.0006546273538155,0.0026831470924887,SVD_Latent
SVD_83,0.0029405064057374,0.002757373584095,0.0028511814673234,0.0021404497124033,0.0026723777923898,SVD_Latent
SVD_85,0.0040529110056283,0.0025179342724523,0.0024495985984695,0.0016520903700481,0.0026681335616496,SVD_Latent
SVD_98,0.0021875780646667,0.0027924041095616,0.004435508497579,0.0009579305252388,0.0025933552992615,SVD_Latent
SVD_99,0.0013014689254097,0.0041217586416528,0.003513663682147,0.0014202619522186,0.002589288300357,SVD_Latent
SVD_10,0.0026970806074408,0.0017612446981541,0.0051141169011232,0.0004492856741964,0.0025054319702286,SVD_Latent
SVD_35,0.0033522458912475,0.0039588383461637,0.001977240954231,0.0007278045692916,0.0025040324402334,SVD_Latent
SVD_42,0.001953537110505,0.0046678732554194,0.0013072292656063,0.0019841156750057,0.0024781888266341,SVD_Latent
SVD_40,0.0022739579596518,0.0039491307472181,0.002881408673303,0.0005948865385086,0.0024248459796704,SVD_Latent
SVD_116,0.0034816750642611,0.0019118192702308,0.0033713003911827,0.0007340759100508,0.0023747176589313,SVD_Latent
SVD_100,0.003675068441138,0.0031746054196173,0.001657599785606,0.0009026392955878,0.0023524782354873,SVD_Latent
SVD_117,0.0035575831401006,0.0027620815602209,0.0025273659798386,0.0005619001575827,0.0023522327094357,SVD_Latent
SVD_82,0.0023296712823572,0.0031067058341526,0.0018289011572763,0.0016546948707076,0.0022299932861234,SVD_Latent
